"","iso3c","country","date","gdp_per_capita","teenage_mothers","total_fertility","prevalence_undernourishment","gini_index","prenatal_care","tot_pop","maternal_mortality","gdp_per_capita_one_year_before","gdp_per_capita_four_year_average","teenage_mothers_one_year_before","teenage_mothers_four_year_average","total_fertility_one_year_before","total_fertility_four_year_average","prevalence_undernourishment_one_year_before","prevalence_undernourishment_four_year_average","gini_index_one_year_before","gini_index_four_year_average","prenatal_care_one_year_before","prenatal_care_four_year_average","tot_pop_one_year_before","tot_pop_four_year_average"
"1","ABW","Aruba",2015,28419.2645344661,NA,1.972,NA,NA,NA,104257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG","Afghanistan",2015,566.881129708434,12.1,5.405,21.3,NA,58.6,33753499,776,28419.2645344661,28419.2645344661,NA,NA,1.972,1.972,NA,NA,NA,NA,NA,NA,104257,104257
"3","AGO","Angola",2015,3217.33924005417,NA,5.774,13.5,NA,NA,28127721,274,566.881129708434,14493.0728320873,12.1,12.1,5.405,3.6885,21.3,21.3,NA,NA,58.6,58.6,33753499,16928878
"4","ALB","Albania",2015,3952.80357364813,NA,1.613,4.3,32.8,NA,2880703,7,3217.33924005417,10734.4949680762,NA,12.1,5.774,4.38366666666667,13.5,17.4,NA,NA,NA,58.6,28127721,20661825.6666667
"5","AND","Andorra",2015,38885.5303222983,NA,NA,NA,NA,NA,71746,NA,3952.80357364813,9039.07211946921,NA,12.1,1.613,3.691,4.3,13.0333333333333,32.8,32.8,NA,58.6,2880703,16216545
"6","ARE","United Arab Emirates",2015,41525.1389043587,NA,1.486,4.8,NA,NA,8916899,9,38885.5303222983,11655.6385664273,NA,12.1,NA,4.264,NA,13.0333333333333,NA,32.8,NA,58.6,71746,16208417.25
"7","ARG","Argentina",2015,13789.060424772,NA,2.301,2.7,NA,NA,43131966,39,41525.1389043587,21895.2030100898,NA,NA,1.486,2.95766666666667,4.8,7.53333333333333,NA,32.8,NA,NA,8916899,9999267.25
"8","ARM","Armenia",2015,3666.14182210905,NA,1.602,2.5,32.4,NA,2878595,25,13789.060424772,24538.1333062693,NA,NA,2.301,1.8,2.7,3.93333333333333,NA,32.8,NA,NA,43131966,13750328.5
"9","ASM","American Samoa",2015,13101.5418159165,NA,NA,NA,NA,NA,51368,NA,3666.14182210905,24466.4678683845,NA,NA,1.602,1.79633333333333,2.5,3.33333333333333,32.4,32.4,NA,NA,2878595,13749801.5
"10","ATG","Antigua and Barbuda",2015,15985.5411386971,NA,1.567,NA,NA,NA,89941,27,13101.5418159165,18020.4707417891,NA,NA,NA,1.79633333333333,NA,3.33333333333333,NA,32.4,NA,NA,51368,13744707
"11","AUS","Australia",2015,56758.8692027821,NA,1.814,2.5,NA,NA,23815995,5,15985.5411386971,11635.5713003737,NA,NA,1.567,1.82333333333333,NA,2.6,NA,32.4,NA,NA,89941,11537967.5
"12","AUT","Austria",2015,44195.8175947748,NA,1.49,2.5,30.5,NA,8642699,6,56758.8692027821,22378.0234948762,NA,NA,1.814,1.661,2.5,2.5,NA,32.4,NA,NA,23815995,6708974.75
"13","AZE","Azerbaijan",2015,5500.50364628486,NA,1.94,2.5,NA,NA,9649341,29,44195.8175947748,32510.4424380426,NA,NA,1.49,1.62366666666667,2.5,2.5,30.5,30.5,NA,NA,8642699,8150000.75
"14","BDI","Burundi",2015,289.359627206129,NA,5.695,NA,NA,NA,10727148,514,5500.50364628486,30610.1828956347,NA,NA,1.94,1.70275,2.5,2.5,NA,30.5,NA,NA,9649341,10549494
"15","BEL","Belgium",2015,41008.296719472,NA,1.7,2.5,27.7,NA,11274196,5,289.359627206129,26686.137517762,NA,NA,5.695,2.73475,NA,2.5,NA,30.5,NA,NA,10727148,13208795.75
"16","BEN","Benin",2015,1041.65252312918,NA,5.319,8.1,47.6,NA,10932783,591,41008.296719472,22748.4943969344,NA,NA,1.7,2.70625,2.5,2.5,27.7,29.1,NA,NA,11274196,10073346
"17","BFA","Burkina Faso",2015,632.12668582235,NA,5.478,13.3,NA,92.8,18718019,295,1041.65252312918,11959.953129023,NA,NA,5.319,3.6635,8.1,4.36666666666667,47.6,37.65,NA,NA,10932783,10645867
"18","BGD","Bangladesh",2015,1236.4354555046,NA,2.114,14.8,NA,NA,157830000,212,632.12668582235,10742.8588889074,NA,NA,5.478,4.548,13.3,7.96666666666667,NA,37.65,92.8,92.8,18718019,12913036.5
"19","BGR","Bulgaria",2015,7078.86032298969,NA,1.53,3.7,38.6,NA,7177991,8,1236.4354555046,10979.627845982,NA,NA,2.114,3.65275,14.8,9.675,NA,37.65,NA,92.8,157830000,49688749.5
"20","BHR","Bahrain",2015,22850.6653959938,NA,2.131,NA,NA,NA,1362142,16,7078.86032298969,2497.26874686145,NA,NA,1.53,3.61025,3.7,9.975,38.6,43.1,NA,92.8,7177991,48664698.25
"21","BHS","Bahamas, The",2015,29722.4068429349,NA,1.576,NA,NA,NA,392697,84,22850.6653959938,7949.52196507761,NA,NA,2.131,2.81325,NA,10.6,NA,38.6,NA,92.8,1362142,46272038
"22","BIH","Bosnia and Herzegovina",2015,4654.60862038896,NA,1.289,2.5,NA,NA,3524324,7,29722.4068429349,15222.0920043557,NA,NA,1.576,1.83775,NA,9.25,NA,38.6,NA,NA,392697,41690707.5
"23","BLR","Belarus",2015,5967.06856034227,NA,1.724,2.5,25.6,NA,9461076,1,4654.60862038896,16076.6352955768,NA,NA,1.289,1.6315,2.5,3.1,NA,38.6,NA,NA,3524324,3114288.5
"24","BLZ","Belize",2015,6098.60007958976,NA,2.438,6.8,NA,NA,359871,49,5967.06856034227,15798.687354915,NA,NA,1.724,1.68,2.5,2.5,25.6,25.6,NA,NA,9461076,3685059.75
"25","BMU","Bermuda",2015,102005.62564189,NA,1.4,NA,NA,NA,65237,NA,6098.60007958976,11610.671025814,NA,NA,2.438,1.75675,6.8,3.93333333333333,NA,25.6,NA,NA,359871,3434492
"26","BOL","Bolivia",2015,2975.64881143063,NA,2.886,16,46.7,NA,11090085,165,102005.62564189,29681.4757255527,NA,NA,1.4,1.71275,NA,3.93333333333333,NA,25.6,NA,NA,65237,3352627
